Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
MarJon Beauchamp,MIL,"$2,485,200","$2,609,400","$5,094,600",beaucma01
Usman Garuba,HOU,"$2,471,160","$2,588,400","$5,059,560",garubus01
Leandro Bolmaro,UTA,"$2,471,160",,"$2,471,160",bolmale01
Willie Cauley-Stein,HOU,,,"$2,569,012",caulewi01
Montrezl Harrell,PHI,"$2,463,490","$2,760,026","$2,463,490",harremo01
Willy Hernangómez,NOP,"$2,443,581","$2,559,942","$2,443,581",hernawi01
R.J. Hampton,ORL,"$2,898,243","$1,997,238","$2,412,840",hamptrj01
Blake Wesley,SAS,"$2,385,480","$2,504,640","$4,890,120",weslebl01
Josh Christopher,HOU,"$2,372,160","$2,485,200","$4,857,360",chrisjo01
Stanley Johnson,UTA,"$3,596,685",,"$2,351,521",johnsst04
Immanuel Quickley,NYK,"$2,316,240","$4,171,548","$6,487,788",quickim01
Wendell Moore Jr.,MIN,"$2,306,520","$2,421,720","$4,728,240",moorewe01
John Konchar,MEM,"$2,300,000","$2,400,000","$23,195,000",konchjo01
Damian Jones,UTA,"$2,298,385","$2,586,665","$2,298,385",jonesda03
Quentin Grimes,NYK,"$2,277,000","$2,385,720","$4,662,720",grimequ01
Andrew Nembhard,IND,"$2,244,111","$2,131,905","$6,395,715",nembhan01
Nikola Jović,MIA,"$2,239,920","$2,352,000","$4,591,920",jovicni01
Payton Pritchard,BOS,"$2,239,200","$4,037,277","$6,276,477",pritcpa01
Vlatko Čančar,DEN,"$2,234,359","$2,234,359","$4,468,718",cancavl01
Patrick Baldwin Jr.,GSW,"$2,226,000","$2,337,720","$4,563,720",baldwpa01
TyTy Washington Jr.,HOU,"$2,210,040","$2,320,440","$4,530,480",washity02
Bones Hyland,LAC,"$2,201,520","$2,306,400","$4,507,920",hylanbo01
Bol Bol,ORL,"$2,200,000","$2,200,000","$2,200,000",bolbo01
Peyton Watson,DEN,"$2,193,960","$2,303,520","$4,497,480",watsope01
Marquese Chriss,OKC,"$2,193,920",,"$2,193,920",chrisma01
