player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Bruce Brown,brownbr01,2023,5710,2782,-.3104282299132918,.8190908597101564,.5086626297968644,-4.455621184390679,.2775129580814322,-4.178108226309246,-1.23622581885372,.7385476933348225,-.4976781255188978,3.245218434055654,1.703348723970161,1.541869710085493,-.75273209780737,.6574056105154097,-.0953264872919604,-.9744583768137146
Greg Brown III,browngr01,2023,203,93,-8.881876765146059,.6496973896750312,-8.232179375471027,-12.97352337625417,15.5331550992555,2.559631723001333,-10.28921031378843,3.82926657037861,-6.459943743409813,-.176995109022393,-.176995109022393,0,-10.20931383631549,1.599218034405106,-8.610095801910385,.5524405725807252
Jaylen Brown,brownja02,2023,6542,3156,.5534251767744572,.2087877361669813,.7622129129414387,-2.293073707388948,.6512121345345544,-1.641861572854393,-.0963728371738758,.2730620021819667,.1766891650080909,4.764543948588803,4.118381909312441,.6461620392763622,.9077114519593628,.5249339884034757,1.432645440362838,1.135715138308524
Kendall Brown,brownke03,2023,98,40,-3.481304101903776,2.723014825014195,-.7582892768895811,-6.063503809908263,10.47499290292066,4.411489093012402,-4.20742358143092,4.578858554855067,.3714349734241473,.0652352726342337,.0652352726342337,0,-3.69630532387151,4.076468973790273,.380163649918762,2.429026850873543
Moses Brown,brownmo01,2023,623,294,.9358171806844428,2.346898397504852,3.282715578189294,1.822693554365294,2.589417325870206,4.412110880235499,1.204712721372192,2.556263537844122,3.760976259216314,.9843615645936987,.9843615645936987,0,.5271259596654201,1.291092363402385,1.818218323067806,.4839929130518429
Sterling Brown,brownst02,2023,60,24,-6.222597028943444,5.170713874605842,-1.051883154337602,.1524808499346224,4.395435740166336,4.547916590100958,-5.271290529664114,5.338308608040345,.0670180783762309,.0348133575758614,.0348133575758614,0,-5.110716228109322,2.720278938100438,-2.390437290008884,.9350043400746867
Troy Brown Jr.,browntr01,2023,4221,1984,-1.655764734110315,1.025198568935894,-.6305661651744209,-1.071565510679703,-1.487295532970126,-2.558861043649828,-1.645305152233167,.5519673824040331,-1.093337769829134,1.666928446520245,1.603949290501589,.0629791560186553,-1.984999486238274,.5983038166719705,-1.386695669566304,-.7219293860559317
Jalen Brunson,brunsja01,2023,5693,2822,5.107749309660453,.196062959616125,5.303812269276579,6.719803281850517,-5.273036518419686,1.44676676343083,5.724223646275552,-.948489797789565,4.775733848485987,10.85926965621117,8.139052580535083,2.720217075676091,6.228272245775553,-.1757754589498169,6.052496786825737,-.9514651483590862
Thomas Bryant,bryanth01,2023,2301,1081,-.6641638091017947,-1.302807164438878,-1.966970973540673,-.5530620460653765,-3.0344983353232,-3.587560381388577,-.680373336636654,-1.748964610329495,-2.429337946966149,.1650501624690162,.1650501624690162,0,-1.483938129027807,-1.224597116461276,-2.708535245489083,-.0530607203341036
Reggie Bullock,bullore01,2023,4789,2364,-2.544238081068181,-1.843853742736118,-4.388091823804299,-2.050419322066525,-2.214991578002011,-4.265410900068535,-2.616892510661282,-2.009333021224143,-4.626225531885425,-2.241967116524868,-2.241967116524868,0,-2.826333038237756,-1.507506354539994,-4.333839392777749,-.9354370342342965
Alec Burks,burksal01,2023,2413,1122,2.76094462900363,-.3125966776592781,2.448347951344352,2.680440401344783,1.473596335962884,4.154036737307667,2.985167186399377,.0957647769268109,3.080931963326187,3.362076498076258,3.362076498076258,0,2.432341164634616,-.5268564758864293,1.905484688748187,.731543597238643
Deonte Burton,burtode02,2023,14,6,-8.786325675144552,-1.625177483128069,-10.41150315827262,30.68662903150717,3.224169760213239,33.91079879172041,-1.05549383465542,-.6742112180615182,-1.729705052716939,.0031762101325125,.0031762101325125,0,-1.972780280573747,-2.276726190104001,-4.249506470677749,1.708982697690141
Jared Butler,butleja02,2023,165,77,1.655260724631066,.3775508972839692,2.032811621915036,-2.488318059596506,-.3574116372337091,-2.845729696830215,.892526190779235,.2380590703787717,1.130585261158007,.1533840385969288,.1533840385969288,0,2.063721819559603,-1.627164585279906,.4365572342796973,.6181777744892493
Jimmy Butler,butleji01,2023,5975,2971,6.461909049981652,1.202545702184526,7.664454752166179,.3872317154448707,-1.913253258311831,-1.526021542866961,5.59904640221344,.6091504982315665,6.208196900445006,13.59534494590479,10.11248504400469,3.482859901900097,4.885388096222528,1.258478942531536,6.143867038754063,-.5987619346183567
John Butler Jr.,butlejo01,2023,483,221,-6.341907326678725,-.8016476681454863,-7.143554994824211,-3.787690783329805,-1.728185170316479,-5.515875953646284,-6.179603730775185,-.9482251078989096,-7.127828838674094,-.4918554116672267,-.4918554116672267,0,-6.05134223630894,-2.200917114340295,-8.252259350649235,-.3605299951506147
Jamal Cain,cainja01,2023,514,240,1.389705875400732,.1972239728336307,1.586929848234363,-.5063788883298939,4.577722269137127,4.071343380807233,1.082470254695283,1.109516412234493,2.191986666929776,.6053003629288424,.6053003629288424,0,.7574278759499745,1.100647480411343,1.858075356361317,.0273510146130293
Kentavious Caldwell-Pope,caldwke01,2023,6268,3018,-.3533322309591219,1.113381802060938,.7600495711018158,4.378563726917447,-.140888823209559,4.237674903707888,.5902218578258469,.9137626378857168,1.503984495711564,6.606634303102494,5.804136593147868,.8024977099546255,1.019753520431474,1.015240105436718,2.034993625868192,.8343526489229498
Facundo Campazzo,campafa01,2023,108,52,-6.505202988558209,10.99218910745535,4.486986118897142,-10.29625119575002,11.97631464872459,1.680063452974567,-7.716682890955597,11.90399039664837,4.187307505692771,.1849334179477631,.1849334179477631,0,-6.5800276448372,9.088066600412644,2.508038955575444,.4847224214507967
Vlatko Cancar,cancavl01,2023,1865,899,-.970928453296426,-.8208952991171217,-1.791823752413548,-4.491993341433466,-.5145080986613721,-5.006501440094839,-1.773802395231637,-.8200660976455553,-2.593868492877193,.0690294947006942,.205032565481824,-.1360030707811298,-1.78428358080673,-1.939931757347974,-3.724215338154705,-.5876425316237713
Clint Capela,capelca01,2023,4036,1881,.1638626699209009,3.285912157054098,3.449774826974998,2.102346883483829,-2.071318630690471,.0310282527933587,.5537548317182589,2.384073905351916,2.937828737070174,5.446650449129991,5.031645737373164,.4150047117568275,.7793721474212739,2.403735536603382,3.183107684024656,-.4533092952925664
Vernon Carey Jr.,careyve01,2023,61,28,-7.085385895417002,2.0921631994259,-4.993222695991102,-25.61915507777608,17.60251162390103,-8.016643453875059,-11.42101199887729,5.440914144983351,-5.980097853893943,-.0463952801968676,-.0463952801968676,0,-10.10602421535464,.9981351828430923,-9.107889032511546,.5498931447072646
Jevon Carter,carteje01,2023,3979,1859,-1.273925571601035,-.3174404799805956,-1.591366051581631,-2.963281909930658,3.311018503645169,.3477365937145109,-1.703946667230176,.3660637564440211,-1.337882910786155,1.327311155706572,1.423059373635508,-.0957482179289368,-1.448422243348187,.2669597223971981,-1.181462520950989,-.7420129169897424
Michael Carter-Williams,cartemi01,2023,90,44,-1.629666839746328,-10.60237318556718,-12.23204002531351,-4.497997941449401,-13.26468088586434,-17.76267882731374,-2.278331178352278,-11.79598951891067,-14.07432069726295,-.2554089738557241,-.2554089738557241,0,-.6769258299162053,-10.27271787380153,-10.94964370371774,.4730956030743939
Wendell Carter Jr.,cartewe01,2023,3527,1690,-1.337232079055368,1.252086293454525,-.0851457856008428,-.5502066621879067,1.905899789181287,1.35569312699338,-1.219532287478356,1.460874308098625,.2413420206202692,2.579468334725777,2.579468334725777,0,-1.549590128671859,1.02902109376276,-.5205690349090992,.0085925851650045
