Player,Tm,salary_22_23,Guaranteed,-9999
Terance Mann,LAC,"$1,930,681","$23,930,681",mannte01
Dean Wade,CLE,"$1,930,681","$13,807,225",wadede01
Isaiah Roby,SAS,"$1,930,681","$1,930,681",robyis01
Jalen McDaniels,PHI,"$1,930,681","$1,930,681",mcdanja01
Jaylen Nowell,MIN,"$1,930,681","$1,930,681",nowelja01
Naz Reid,MIN,"$1,930,681","$1,930,681",reidna01
Lindy Waters III,OKC,"$1,927,896","$1,927,896",waterli01
Chimezie Metu,SAC,"$1,910,860","$1,910,860",metuch01
KZ Okpala,SAC,"$1,902,133","$1,902,133",okpalkz01
Davon Reed,LAL,"$1,902,133","$1,902,133",reedda01
Juwan Morgan,LAC,"$576,230","$1,902,133",morgaju01
Théo Maledon,HOU,"$1,900,000","$1,900,000",maledth01
Svi Mykhailiuk,TOR,"$3,714,810","$1,878,720",mykhasv01
Keita Bates-Diop,SAS,"$1,878,720","$1,878,720",bateske01
Moritz Wagner,ORL,"$1,878,720","$1,878,720",wagnemo01
Thanasis Antetokounmpo,MIL,"$1,878,720","$1,878,720",antetth01
Wenyen Gabriel,LAL,"$1,878,720","$1,878,720",gabriwe01
Oshae Brissett,IND,"$1,846,738","$1,846,738",brissos01
Anthony Gill,WAS,"$1,836,090","$3,833,328",gillan01
Gorgui Dieng,SAS,"$2,458,672","$2,669,716",dienggo01
James Johnson,IND,"$2,427,016","$2,427,016",johnsja01
Taj Gibson,WAS,"$1,836,090","$1,836,090",gibsota01
Cody Zeller,UTA,"$517,060","$1,836,090",zelleco01
Juan Toscano-Anderson,UTA,"$1,836,090","$1,836,090",toscaju01
Juancho Hernangómez,TOR,"$1,836,090","$1,836,090",hernaju01
Matthew Dellavedova,SAC,"$1,836,090","$1,836,090",dellama01
Ryan Arcidiacono,POR,"$1,836,090","$1,836,090",arcidry01
Drew Eubanks,POR,"$1,836,090","$1,836,090",eubandr01
Damion Lee,PHO,"$1,836,090","$1,836,090",leeda03
Josh Okogie,PHO,"$1,836,090","$1,836,090",okogijo01
T.J. Warren,PHO,"$1,836,090","$1,836,090",warretj01
Bismack Biyombo,PHO,"$1,836,090","$1,836,090",biyombi01
Skylar Mays,PHI,,"$1,836,090",mayssk01
Jay Scrubb,ORL,,"$1,836,090",scrubja01
Jahmi'us Ramsey,OKC,,"$1,836,090",ramseja01
Robert Woodard II,OKC,,"$1,836,090",woodaro01
Justin Jackson,OKC,"$1,836,090","$1,836,090",jacksju01
Isaiah Joe,OKC,"$1,836,090","$1,836,090",joeis01
Kelan Martin,NOP,,"$1,836,090",martike03
Bryn Forbes,MIN,"$1,836,090","$1,836,090",forbebr01
Nathan Knight,MIN,"$1,836,090","$1,836,090",knighna01
Austin Rivers,MIN,"$1,836,090","$1,836,090",riverau01
Wesley Matthews,MIL,"$1,836,090","$1,836,090",matthwe02
Udonis Haslem,MIA,"$1,836,090","$1,836,090",hasleud01
Shaquille Harrison,LAL,,"$1,836,090",harrish01
Dennis Schröder,LAL,"$1,836,090","$1,836,090",schrode01
Troy Brown Jr.,LAL,"$1,836,090","$1,836,090",browntr01
Malik Fitts,LAC,"$555,217","$1,836,090",fittsma01
Serge Ibaka,IND,"$1,836,090","$1,836,090",ibakase01
Frank Kaminsky,HOU,"$1,836,090","$1,836,090",kaminfr01
Andre Iguodala,GSW,"$1,836,090","$1,836,090",iguodan01
JaMychal Green,GSW,"$10,036,090","$1,836,090",greenja01
Rodney McGruder,DET,"$1,836,090","$1,836,090",mcgruro01
DeAndre Jordan,DEN,"$9,663,997","$1,836,090",jordade01
